#Time	vx	vy	vz
92.324828264	215.603623796078	-1.56958296608699	134.270688280681
92.333042284	205.867378554681	-1.46091575556169	148.769921108114
92.341673114	192.913191960213	-1.50622912641668	165.221748789948
92.350545624	178.754357137457	-1.57790731394932	180.444972116687
92.358866264	163.689252899174	-1.44219606078573	194.215736185805
92.367202854	147.302469547491	-1.55939096426477	206.919185642855
92.374181344	132.550069893295	-1.57627110143416	216.665627760714
92.382343054	116.764789522584	-1.470280665552	225.565558773429
92.387174424	102.869351163466	-1.44886410089349	232.232217314712
92.391905984	90.4564245196142	-1.47942750382643	237.342440970844
92.401178064	75.7111836203274	-1.61776033376775	242.448348687316
92.405685114	61.2373947482238	-1.55312233057053	246.502701323483
92.410177374	48.5278908487568	-1.33563002336022	249.317604360566
92.419063764	32.9717877404567	-1.5754437828201	251.845941853746
92.423505014	18.6884028553174	-1.57613036129299	253.30666520762
92.432430374	0.448161345257013	-1.45652437207813	253.995442423199
92.441414304	-19.7018475991986	-1.55833822818534	253.229962080064
92.446012814	-36.3161189855175	-1.52223253232687	251.385829624343
92.455204504	-53.6354266235839	-1.52311556334668	248.267836825583
92.459874884	-68.7309798789517	-1.49880641480688	244.519560815464
92.464608514	-78.7978615147633	-1.478780242904	241.463688234254
92.471973584	-94.6358447993873	-1.49353557072241	235.70706825213
92.481902474	-112.09720166911	-1.51074395780478	227.920905100806
92.489741164	-132.420102392123	-1.53086823574713	216.74542771119
92.496767464	-146.87679726604	-1.56554725768007	207.221527925734
92.503600594	-159.809493035118	-1.46345689592568	197.420335260414
92.510546644	-172.184091859925	-1.58363295188934	186.724721690905
92.516878954	-183.661312747261	-1.42128272977252	175.449456975243
92.525343894	-196.339230243897	-1.53574608494	161.135204604498
92.528950284	-203.527909527133	-1.66371588169323	151.952717194643
92.535140534	-211.461504313556	-1.45389880735071	140.705095689157
92.542803044	-220.94596455181	-1.56606708483274	125.285366786615
92.547653804	-227.180848530778	-1.44307254057619	113.590424265389
92.552516774	-232.162601833325	-1.6450848668443	103.023439786088
92.561835314	-239.200689808001	-1.50238208044536	85.4211525738763
92.570845044	-245.290287736606	-1.44288404550924	65.9287017717389
92.575313394	-249.309252237854	-1.56657519359465	48.5638310014486
92.584151914	-251.852120038196	-1.58397559772483	32.9240642098463
92.588565374	-253.31593504508	-1.35947729004521	18.5795229639491
92.597435644	-253.994466009611	-1.57830560325498	0.563680572590722
92.606403844	-253.227903105705	-1.4495652753745	-19.7363887493209
92.610938884	-251.375952582557	-1.54353655094506	-36.3833615580031
92.620102804	-248.256258949502	-1.52773082430417	-53.6888261112758
92.629427514	-243.010394753548	-1.50138814057829	-73.8897449184454
92.634204864	-236.951150385277	-1.67456643381876	-91.4731914473189
92.639100224	-232.465265542541	-1.42992694094665	-102.341913916356
92.646632624	-226.75360658382	-1.59311667389107	-114.438881074503
92.652880964	-218.13786761352	-1.44038210456475	-130.114516779012
92.662674374	-207.180113241443	-1.53164203973473	-146.935526345212
92.671398914	-193.935903954504	-1.49005127151784	-164.020259195566
92.677941394	-181.123839030583	-1.52847121544765	-178.066896599685
92.686652554	-168.060377757025	-1.49233941997419	-190.44546905663
92.692281234	-154.210113767269	-1.59895279251781	-201.823374700018
92.699302694	-142.562922445911	-1.56662552138304	-210.212660869298
92.704404704	-128.772676829192	-1.37200721126949	-218.933150712641
92.709293494	-118.229688374767	-1.63639707093161	-224.800047619156
92.714175794	-107.736262448815	-1.43375254209403	-230.014872110295
92.718848804	-98.0096130738828	-1.49796351859754	-234.324293266162
92.723559654	-87.6699161850121	-1.48593078279638	-238.385752725835
92.728054774	-76.3049197986359	-1.55724326119617	-242.26255877759
92.734141494	-64.0739498813565	-1.47862961264674	-245.781100057715
92.741095384	-48.3182863574611	-1.58184866051253	-249.356870666185
92.745708994	-34.4632212404401	-1.51724873385548	-251.646540000963
92.754651274	-17.3333947643755	-1.56559694646004	-253.403048619836
92.763451144	2.72731332705077	-1.4772947188189	-253.981053581593
92.772411774	26.0026243678728	-1.56238944699704	-252.660693428613
92.781454454	45.8934842089928	-1.43762721618509	-249.815375489429
92.790702664	69.6351044834726	-1.51380661920549	-244.263510913302
92.796764034	86.284095416023	-1.64979149935116	-238.889809105924
92.805078124	101.995601680233	-1.44333398604109	-232.617327416947
92.810074024	117.496276448923	-1.60131211514626	-225.184516192568
92.816548664	129.428145370356	-1.54448860823894	-218.545138065699
92.825999764	146.649456693389	-1.48130764336712	-207.383070071459
92.834919254	163.462315713897	-1.56959699588137	-194.405799346981
92.844306734	180.240045226191	-1.49134789194202	-178.961747033096
